admitted_s,arrival_s,batch_size,comparison,e2e_ms,error,experiment,finished_s,first_token_s,output_tokens,preemptions,profile_name,prompt_tokens,recomputed_tokens,repeat,request_id,requested_output_tokens,tpot_ms,ttft_ms,variant
8936.089430884,8936.089430293,1,batching,2807.755324000027,,batching-static-right-skewed-b1-static-fcfs,8938.897185617,8938.554539185,8,0,right-skewed,49,0,4,request-000003,8,48.949490285719676,2465.1088919999893,static
8936.089443303,8936.089442928,1,batching,3698.5028660001262,,batching-static-right-skewed-b1-static-fcfs,8939.787945794,8939.096995863,15,0,right-skewed,61,0,4,request-000004,15,49.353566500030865,3007.552934999694,static
8936.089456348,8936.089455967,1,batching,5344.045632000416,,batching-static-right-skewed-b1-static-fcfs,8941.433501599,8940.596865835,18,0,right-skewed,248,0,4,request-000005,18,49.213868470627965,4507.4098679997405,static
8936.089567824,8936.089567443,1,batching,6876.70910199995,,batching-static-right-skewed-b1-static-fcfs,8942.966276545,8941.729684945,26,0,right-skewed,81,0,4,request-000006,26,49.46366399999533,5640.117502000066,static
8936.137539834,8936.137538947,1,batching,7941.727057001117,,batching-static-right-skewed-b1-static-fcfs,8944.079266004,8943.114414288,21,0,right-skewed,36,0,4,request-000007,21,48.24258580001697,6976.875341000778,static
8944.596799145,8944.596798616,1,batching,1026.532768000834,,batching-continuous-right-skewed-b1-continuous-fcfs,8945.623331384,8944.743570145,19,0,right-skewed,46,0,0,request-000000,19,48.875624388933325,146.7715290000342,continuous
8944.743686205,8944.7436853,1,batching,1561.8482749996474,,batching-continuous-right-skewed-b1-continuous-fcfs,8946.305533575,8945.872862043,10,0,right-skewed,80,0,0,request-000001,10,48.074614666701464,1129.1767429993342,continuous
8944.743728446,8944.74372811,1,batching,2187.327985000593,,batching-continuous-right-skewed-b1-continuous-fcfs,8946.931056095,8946.402500137,12,0,right-skewed,17,0,0,request-000002,12,48.05054163642291,1658.7720269999409,continuous
8944.743743777,8944.743743296,1,batching,2716.4896890008094,,batching-continuous-right-skewed-b1-continuous-fcfs,8947.460232985,8947.130311479,8,0,right-skewed,49,0,0,request-000003,8,47.131643714237725,2386.5681830011454,continuous
8944.743756248,8944.743755909,1,batching,3583.294025000214,,batching-continuous-right-skewed-b1-continuous-fcfs,8948.327049934,8947.658128019,15,0,right-skewed,61,0,0,request-000004,15,47.78013678566952,2914.3721100008406,continuous
8944.743769238,8944.743768901,1,batching,5459.1276480005035,,batching-continuous-right-skewed-b1-continuous-fcfs,8950.202896549,8949.346588577,18,0,right-skewed,248,0,0,request-000005,18,50.37105717650882,4602.819675999854,continuous
8944.743834047,8944.743833752,1,batching,6977.269380000507,,batching-continuous-right-skewed-b1-continuous-fcfs,8951.721103132,8950.513932825,26,0,right-skewed,81,0,0,request-000006,26,48.28681227998459,5770.0990730008925,continuous
8944.791054928,8944.791054284,1,batching,8072.650103000342,,batching-continuous-right-skewed-b1-continuous-fcfs,8952.863704387,8951.865378044,21,0,right-skewed,36,0,0,request-000007,21,49.916317150018585,7074.32375999997,continuous
8953.327516372,8953.327515725,1,batching,1042.1859080015565,,batching-continuous-right-skewed-b1-continuous-fcfs,8954.369701633,8953.483221681,19,0,right-skewed,46,0,1,request-000000,19,49.2488862223076,155.7059560000198,continuous
