backend,in_features,iterations,latency_ms,out_features,repeat,rows,shape
triton-int8,1536,10,4.562003326416016,151936,3,1,lm-head
triton-int8,1536,10,4.553216171264649,151936,4,1,lm-head
triton-int8,1536,10,3.9733440399169924,151936,0,8,lm-head
triton-int8,1536,10,5.253107070922852,151936,1,8,lm-head
triton-int8,1536,10,4.752595138549805,151936,2,8,lm-head
triton-int8,1536,10,4.780137634277343,151936,3,8,lm-head
triton-int8,1536,10,4.800300979614258,151936,4,8,lm-head
triton-int8,1536,10,6.776441955566407,151936,0,32,lm-head
triton-int8,1536,10,6.916960144042969,151936,1,32,lm-head
triton-int8,1536,10,6.759011077880859,151936,2,32,lm-head
triton-int8,1536,10,6.687570953369141,151936,3,32,lm-head
triton-int8,1536,10,6.822332763671875,151936,4,32,lm-head
triton-int8,1536,10,48.57184753417969,151936,0,128,lm-head
triton-int8,1536,10,48.60458068847656,151936,1,128,lm-head
triton-int8,1536,10,48.596124267578126,151936,2,128,lm-head
triton-int8,1536,10,48.58528442382813,151936,3,128,lm-head
triton-int8,1536,10,48.611749267578126,151936,4,128,lm-head
