batch_size,cache_blocks_free,cache_blocks_used,cache_contiguous_waste_gb,cache_contiguous_waste_tokens,cache_device_metadata,cache_memory_reduction_pct,cache_paged_allocated_gb,cache_paged_fragmentation_pct,cache_paged_waste_tokens,cache_peak_blocks_used,cache_peak_paged_allocated_gb,cache_used_tokens,chunk_size,comparison,config,decode_cpu_ms,decode_cuda_ms,decode_iterations,duration_s,e2e_ms_max,e2e_ms_p50,e2e_ms_p95,e2e_ms_p99,experiment,gpu_memory_peak_gb,gpu_utilization_mean_pct,metadata_construction_ms,mixed_cpu_ms,mixed_cuda_ms,mixed_iterations,policy,preemptions,prefill_cpu_ms,prefill_cuda_ms,prefill_iterations,profile_name,recomputed_tokens,repeat,requests,scheduler_mode,successful_requests,throughput_tokens_per_s,tpot_ms_p50,tpot_ms_p95,tpot_ms_p99,ttft_ms_max,ttft_ms_p50,ttft_ms_p95,ttft_ms_p99,variant
1,512.0,0.0,3.4993858337402344,131049.0,False,99.9755859375,0.0,0.0,0.0,2.0,0.0008544921875,0.0,1,metadata,metadata-rebuild-16x8-b1-continuous-fcfs,545.9324150033353,546.0271377563477,7,1.3760971850006172,1375.2394219991402,1375.2394219991402,1375.2394219991402,1375.2394219991402,metadata-rebuild-16x8-b1-continuous-fcfs,5.08612060546875,33.333333333333336,3.0426789980992908,0.0,0,0,fcfs,0,825.4487159974815,827.6810874938965,16,16x8,0,0,1,continuous,1,5.813542885778385,78.17187328562015,78.17187328562015,78.17187328562015,828.0363089997991,828.0363089997991,828.0363089997991,828.0363089997991,rebuild
1,512.0,0.0,3.4993858337402344,131049.0,False,99.9755859375,0.0,0.0,0.0,2.0,0.0008544921875,0.0,1,metadata,metadata-rebuild-16x8-b1-continuous-fcfs,348.07857500163664,348.12659072875977,7,1.1301087169995299,1129.5919510012027,1129.5919510012027,1129.5919510012027,1129.5919510012027,metadata-rebuild-16x8-b1-continuous-fcfs,5.09197998046875,38.666666666666664,2.8601409976545256,0.0,0,0,fcfs,0,777.8121100000135,779.9677734375,16,16x8,0,1,1,continuous,1,7.078964952363364,49.903426571420695,49.903426571420695,49.903426571420695,780.2679650012578,780.2679650012578,780.2679650012578,780.2679650012578,rebuild
1,512.0,0.0,3.4993858337402344,131049.0,False,99.9755859375,0.0,0.0,0.0,2.0,0.0008544921875,0.0,1,metadata,metadata-rebuild-16x8-b1-continuous-fcfs,369.98961999779567,370.0856628417969,7,1.1557584080001106,1155.2554729987605,1155.2554729987605,1155.2554729987605,1155.2554729987605,metadata-rebuild-16x8-b1-continuous-fcfs,5.09197998046875,37.166666666666664,3.076807002798887,0.0,0,0,fcfs,0,781.1067739930877,783.3624000549316,16,16x8,0,2,1,continuous,1,6.921861822180431,53.081199428561376,53.081199428561376,53.081199428561376,783.6870769988309,783.6870769988309,783.6870769988309,783.6870769988309,rebuild
1,512.0,0.0,3.4993858337402344,131049.0,False,99.9755859375,0.0,0.0,0.0,2.0,0.0008544921875,0.0,1,metadata,metadata-rebuild-16x8-b1-continuous-fcfs,367.165207004291,367.26988983154297,7,1.1923335769988626,1191.713353000523,1191.713353000523,1191.713353000523,1191.713353000523,metadata-rebuild-16x8-b1-continuous-fcfs,5.09197998046875,35.333333333333336,3.2285789984598523,0.0,0,0,fcfs,0,819.9306270016677,822.7151412963867,16,16x8,0,3,1,continuous,1,6.709531757158284,52.6641815714746,52.6641815714746,52.6641815714746,823.0640820002009,823.0640820002009,823.0640820002009,823.0640820002009,rebuild
1,512.0,0.0,3.4993858337402344,131049.0,False,99.9755859375,0.0,0.0,0.0,2.0,0.0008544921875,0.0,1,metadata,metadata-rebuild-16x8-b1-continuous-fcfs,348.7064150012884,348.7724494934082,7,1.1505001630011975,1149.8907179993694,1149.8907179993694,1149.8907179993694,1149.8907179993694,metadata-rebuild-16x8-b1-continuous-fcfs,5.09197998046875,36.583333333333336,3.040701998543227,0.0,0,0,fcfs,0,797.1123139941483,799.4738922119141,16,16x8,0,4,1,continuous,1,6.95349749376061,50.01049600001092,50.01049600001092,50.01049600001092,799.8172459992929,799.8172459992929,799.8172459992929,799.8172459992929,rebuild
1,512.0,0.0,3.4993858337402344,131049.0,True,99.9755859375,0.0,0.0,0.0,2.0,0.0008544921875,0.0,1,metadata,metadata-cached-16x8-b1-continuous-fcfs,333.901618994787,333.95670318603516,7,1.0954675920002046,1094.8492139996233,1094.8492139996233,1094.8492139996233,1094.8492139996233,metadata-cached-16x8-b1-continuous-fcfs,5.09197998046875,37.72727272727273,2.3164330013969447,0.0,0,0,fcfs,0,757.2858240073401,759.4944648742676,16,16x8,0,0,1,continuous,1,7.302817589877644,47.87135399991322,47.87135399991322,47.87135399991322,759.7497360002308,759.7497360002308,759.7497360002308,759.7497360002308,cached
1,512.0,0.0,3.4993858337402344,131049.0,True,99.9755859375,0.0,0.0,0.0,2.0,0.0008544921875,0.0,1,metadata,metadata-cached-16x8-b1-continuous-fcfs,330.83617199372384,330.89007568359375,7,1.1128896599984728,1112.316964999991,1112.316964999991,1112.316964999991,1112.316964999991,metadata-cached-16x8-b1-continuous-fcfs,5.09197998046875,36.72727272727273,2.287772998897708,0.0,0,0,fcfs,0,777.661693000482,780.0019226074219,16,16x8,0,1,1,continuous,1,7.188493421720692,47.431880714222125,47.431880714222125,47.431880714222125,780.293800000436,780.293800000436,780.293800000436,780.293800000436,cached
1,512.0,0.0,3.4993858337402344,131049.0,True,99.9755859375,0.0,0.0,0.0,2.0,0.0008544921875,0.0,1,metadata,metadata-cached-16x8-b1-continuous-fcfs,332.4306679987785,332.4626884460449,7,1.1036377090003953,1102.980153000317,1102.980153000317,1102.980153000317,1102.980153000317,metadata-cached-16x8-b1-continuous-fcfs,5.09197998046875,36.90909090909091,2.2014580044924514,0.0,0,0,fcfs,0,766.8035019960371,769.0736045837402,16,16x8,0,2,1,continuous,1,7.248755578717848,47.65768042852869,47.65768042852869,47.65768042852869,769.3763900006161,769.3763900006161,769.3763900006161,769.3763900006161,cached
1,512.0,0.0,3.4993858337402344,131049.0,True,99.9755859375,0.0,0.0,0.0,2.0,0.0008544921875,0.0,1,metadata,metadata-cached-16x8-b1-continuous-fcfs,342.39000100569683,342.48512268066406,7,1.107401180001034,1106.657036998513,1106.657036998513,1106.657036998513,1106.657036998513,metadata-cached-16x8-b1-continuous-fcfs,5.09197998046875,36.63636363636363,2.366074000747176,0.0,0,0,fcfs,0,759.8565009975573,762.4548072814941,16,16x8,0,3,1,continuous,1,7.224120891755353,49.115433714177925,49.115433714177925,49.115433714177925,762.8490009992674,762.8490009992674,762.8490009992674,762.8490009992674,cached
1,512.0,0.0,3.4993858337402344,131049.0,True,99.9755859375,0.0,0.0,0.0,2.0,0.0008544921875,0.0,1,metadata,metadata-cached-16x8-b1-continuous-fcfs,338.38335500149697,338.54358291625977,7,1.107295558998885,1106.7264869998326,1106.7264869998326,1106.7264869998326,1106.7264869998326,metadata-cached-16x8-b1-continuous-fcfs,5.09197998046875,36.72727272727273,2.431606995742186,0.0,0,0,fcfs,0,764.0440439990925,766.4685745239258,16,16x8,0,4,1,continuous,1,7.22480997506471,48.56525857134589,48.56525857134589,48.56525857134589,766.7696770004113,766.7696770004113,766.7696770004113,766.7696770004113,cached
