admitted_s,arrival_s,backend,batch_size,e2e_ms,error,finished_s,first_token_s,output_tokens,preemptions,prompt_tokens,recomputed_tokens,repeat,request_id,requested_output_tokens,tpot_ms,ttft_ms,workload
13048.577617737,13048.577617338,fp16,1,5284.802348000085,,13053.862419686,13053.042510131,18,0,248,0,2,request-000005,18,48.22997382357511,4464.892792999308,right-skewed
13048.57767243,13048.577672118,fp16,1,6807.964700001321,,13055.385636818,13054.166100914,26,0,81,0,2,request-000006,26,48.781436159988516,5588.428796001608,right-skewed
13048.627340739,13048.627339785,fp16,1,7894.111789999442,,13056.521451575,13055.535374155,21,0,36,0,2,request-000007,21,49.303870999938226,6908.034370000678,right-skewed
13056.978111229,13056.978110633,fp16,1,1233.1573050014413,,13058.211267938,13057.139945838,19,0,46,0,3,request-000000,19,59.51789444447463,161.835205000898,right-skewed
13057.140100928,13057.140099888,fp16,1,1764.510295000946,,13058.904610183,13058.466390697,10,0,80,0,3,request-000001,10,48.69105400009883,1326.2908090000565,right-skewed
13057.140150804,13057.140150467,fp16,1,2399.6972760014614,,13059.539847743,13059.002729014,12,0,17,0,3,request-000002,12,48.828975363655694,1862.5785470012488,right-skewed
13057.140167291,13057.14016679,fp16,1,2946.9077109988575,,13060.087074501,13059.738536621,8,0,49,0,3,request-000003,8,49.79112571423424,2598.369830999218,right-skewed
13057.140181593,13057.140181057,fp16,1,3819.1218539996044,,13060.959302911,13060.287308687,15,0,61,0,3,request-000004,15,47.999587428551294,3147.1276299998863,right-skewed
13057.140201768,13057.140201373,fp16,1,5442.5873149994,,13062.582788688,13061.751644216,18,0,248,0,3,request-000005,18,48.89085129413134,4611.442842999168,right-skewed
13057.140350732,13057.140350397,fp16,1,6945.466758999828,,13064.085817156,13062.876162932,26,0,81,0,3,request-000006,26,48.38616895998712,5735.81253500015,right-skewed
13057.140362704,13057.140362407,fp16,1,8045.802502998413,,13065.18616491,13064.230422154,21,0,36,0,3,request-000007,21,47.78713779996906,7090.059746999032,right-skewed
13065.632335878,13065.632335129,fp16,1,1029.8358220006776,,13066.662170951,13065.787899824,19,0,46,0,4,request-000000,19,48.57061816670062,155.56469500006642,right-skewed
13065.788041201,13065.788040377,fp16,1,1556.4268390007783,,13067.344467216,13066.909256741,10,0,80,0,4,request-000001,10,48.35671944440239,1121.2163640011568,right-skewed
13065.788089849,13065.788089561,fp16,1,2174.7310200007632,,13067.962820581,13067.441046509,12,0,17,0,4,request-000002,12,47.434006545451915,1652.9569480007922,right-skewed
13065.788105967,13065.788105643,fp16,1,2704.6746630003327,,13068.492780306,13068.160818584,8,0,49,0,4,request-000003,8,47.42310314291639,2372.712940999918,right-skewed
13065.78811937,13065.788119011,fp16,1,3817.070106999381,,13069.605189118,13068.688799958,15,0,61,0,4,request-000004,15,65.45636857143629,2900.680946999273,right-skewed
13065.788131453,13065.78813111,fp16,1,5469.307168999876,,13071.257438279,13070.439921115,18,0,248,0,4,request-000005,18,48.089244941258904,4651.790004998475,right-skewed
13065.788248501,13065.788248117,fp16,1,6972.661006000635,,13072.760909123,13071.551344739,26,0,81,0,4,request-000006,26,48.38257536001038,5763.096622000376,right-skewed
13065.837829771,13065.837828918,fp16,1,8030.377724999198,,13073.868206643,13072.907364199,21,0,36,0,4,request-000007,21,48.04212219996771,7069.535280999844,right-skewed
13074.371615898,13074.371615256,fp16,2,398.68313600163674,,13074.770298392,13074.426297435,8,0,16,0,0,request-000000,8,49.1429938571985,54.68217900124728,16x8
13074.37166738,13074.371667047,fp16,2,398.6390480004047,,13074.770306095,13074.426300958,8,0,16,0,0,request-000001,8,49.14359099997715,54.633911000564694,16x8
13074.798700619,13074.798700018,fp16,2,400.51625399974,,13075.199216272,13074.851576864,8,0,16,0,1,request-000000,8,49.66277257127721,52.87684600079956,16x8
13074.798750092,13074.798749832,fp16,2,400.47344800041174,,13075.19922328,13074.851579969,8,0,16,0,1,request-000001,8,49.663330142980804,52.830136999546085,16x8
13075.228613877,13075.228613234,fp16,2,405.12735700031044,,13075.633740591,13075.283487731,8,0,16,0,2,request-000000,8,50.03612285716891,54.87449700012803,16x8
13075.228670636,13075.228670258,fp16,2,405.07989099933184,,13075.633750149,13075.283490889,8,0,16,0,2,request-000001,8,50.03703714282892,54.820630999529385,16x8
13075.663588653,13075.663587998,fp16,2,407.3369500001718,,13076.070924948,13075.717045149,8,0,16,0,3,request-000000,8,50.55425700006059,53.45715099974768,16x8
13075.663641742,13075.663641481,fp16,2,407.2915449996799,,13076.070933026,13075.717048954,8,0,16,0,3,request-000001,8,50.55486742847798,53.407473000333994,16x8
13076.101780945,13076.101780078,fp16,2,415.4548610003985,,13076.517234939,13076.156409462,8,0,16,0,4,request-000000,8,51.54649671411399,54.629384001600556,16x8
13076.101834434,13076.101834082,fp16,2,415.40987500047777,,13076.517243957,13076.15641277,8,0,16,0,4,request-000001,8,51.54731242847837,54.578688001129194,16x8
13076.603842775,13076.603841841,fp16,2,1924.7162499996193,,13078.528558091,13076.835683666,32,0,128,0,0,request-000000,32,54.608852419351614,231.8418249997194,128x32
13076.60389145,13076.603891136,fp16,2,1924.6769860001223,,13078.528568122,13076.835687482,32,0,128,0,0,request-000001,32,54.60905290320009,231.79634600091958,128x32
13078.628693365,13078.628692621,fp16,2,1927.3750800002745,,13080.556067701,13078.862579203,32,0,128,0,1,request-000000,32,54.628661225809,233.88658200019563,128x32
13078.628759265,13078.628758856,fp16,2,1927.3183469995274,,13080.556077203,13078.862583749,32,0,128,0,1,request-000001,32,54.628821096787675,233.82489299910958,128x32
13080.674152139,13080.674151543,fp16,2,2062.3713709992444,,13082.736522914,13080.933824079,32,0,128,0,2,request-000000,32,58.15157532255868,259.67253599992546,128x32
13080.67423667,13080.674236221,fp16,2,2062.2968729985587,,13082.736533094,13080.933829841,32,0,128,0,2,request-000001,32,58.15171783867681,259.59361999957764,128x32
13082.843179295,13082.843178606,fp16,2,1781.768398001077,,13084.624947004,13083.076576491,32,0,128,0,3,request-000000,32,49.94743590325543,233.39788500015857,128x32
13082.843249346,13082.843248915,fp16,2,1781.7075990005833,,13084.624956514,13083.076581054,32,0,128,0,3,request-000001,32,49.94759548389993,233.3321389996854,128x32
13084.725896735,13084.725895997,fp16,2,1928.8875379988895,,13086.654783535,13084.939601411,32,0,128,0,4,request-000000,32,55.32845561285813,213.70541400028742,128x32
13084.725969206,13084.725968785,fp16,2,1928.8284890008072,,13086.654797274,13084.939606187,32,0,128,0,4,request-000001,32,55.328744741986625,213.63740199922177,128x32
13086.814612348,13086.81461176,fp16,2,1037.3214979990735,,13087.851933258,13086.967249991,19,0,46,0,0,request-000000,19,49.149070388921245,152.63823099849105,right-skewed
13086.967369263,13086.967368293,fp16,2,688.2581150002807,,13087.655626408,13087.221889619,10,0,80,0,0,request-000001,10,48.1929765555833,254.52132600003097,right-skewed
13086.96741213,13086.967411796,fp16,2,1328.559673998825,,13088.29597147,13087.754827765,12,0,17,0,0,request-000002,12,49.19488227262098,787.4159689999942,right-skewed
13086.967427762,13086.967427486,fp16,2,1437.3800339999434,,13088.40480752,13088.053966268,8,0,49,0,0,request-000003,8,50.12017885720915,1086.5387819994794,right-skewed
13086.967440609,13086.967440303,fp16,2,2267.4734789998183,,13089.234913782,13088.509353621,15,0,61,0,0,request-000004,15,51.82572578568007,1541.9133180002973,right-skewed
13086.967453507,13086.967452916,fp16,2,3119.1682999997283,,13090.086621216,13089.234698878,18,0,248,0,0,request-000005,18,50.11307870592967,2267.245961998924,right-skewed
