backend,batch_size,chunk_size,config,decode_cpu_ms,decode_cuda_ms,decode_iterations,duration_s,e2e_ms_p50,e2e_ms_p95,e2e_ms_p99,gpu_memory_peak_gb,gpu_utilization_mean_pct,metadata_construction_ms,mixed_cpu_ms,mixed_cuda_ms,mixed_iterations,peak_allocated_bytes,preemptions,prefill_cpu_ms,prefill_cuda_ms,prefill_iterations,recomputed_tokens,repeat,requests,steady_allocated_bytes,steady_reserved_bytes,successful_requests,throughput_tokens_per_s,tpot_ms_p50,tpot_ms_p95,tpot_ms_p99,ttft_ms_p50,ttft_ms_p95,ttft_ms_p99,workload
fp16,1,16,fp16-16x8,355.3694490001362,355.4096031188965,7,0.4169010019995767,416.1215060012182,416.1215060012182,416.1215060012182,4.97869873046875,19.0,1.1180670007888693,0.0,0,0,4222542336,0,59.21506400045473,59.20550537109375,1,0,0,1,4155207680,4366270464,1,19.189207897389807,50.94538157157201,50.94538157157201,50.94538157157201,59.50383500021417,59.50383500021417,59.50383500021417,16x8
fp16,1,16,fp16-16x8,343.7006390031456,343.72784423828125,7,0.39619323999977496,395.6511190008314,395.6511190008314,395.6511190008314,4.97869873046875,37.5,1.1090919997513993,0.0,0,0,4222542336,0,50.575150999065954,50.581600189208984,1,0,1,1,4155207680,4418699264,1,20.19216683253996,49.264960285654524,49.264960285654524,49.264960285654524,50.796397001249716,50.796397001249716,50.796397001249716,16x8
fp16,1,16,fp16-16x8,344.07998700226017,344.11942291259766,7,0.396441054999741,395.9804530004476,395.9804530004476,395.9804530004476,4.97869873046875,37.5,1.0964369994326262,0.0,0,0,4222542336,0,50.56215600052383,50.575008392333984,1,0,2,1,4155207680,4418699264,1,20.17954472451201,49.317424285878324,49.317424285878324,49.317424285878324,50.758482999299304,50.758482999299304,50.758482999299304,16x8
fp16,1,16,fp16-16x8,344.05270899696916,344.08390045166016,7,0.3963715959998808,395.80713500072306,395.80713500072306,395.80713500072306,4.97869873046875,37.0,1.085713996872073,0.0,0,0,4222542336,0,50.320536000072025,50.31033706665039,1,0,3,1,4155207680,4418699264,1,20.18308092894327,49.3237295714997,49.3237295714997,49.3237295714997,50.5410280002252,50.5410280002252,50.5410280002252,16x8
fp16,1,16,fp16-16x8,351.49233100128185,351.5990104675293,7,0.4104281260006246,409.9462569993193,409.9462569993193,409.9462569993193,4.97869873046875,37.2,1.4976070015109144,0.0,0,0,4222542336,0,56.81273899972439,56.78188705444336,1,0,4,1,4155207680,4418699264,1,19.491841550809863,50.418084857093554,50.418084857093554,50.418084857093554,57.01966299966443,57.01966299966443,57.01966299966443,16x8
fp16,1,32,fp16-128x32,1579.4309000011708,1579.6195182800293,31,1.8258429050001723,1825.2875549987948,1825.2875549987948,1825.2875549987948,5.34002685546875,37.888888888888886,5.7903709948732285,0.0,0,0,4614936064,0,239.4163489989296,239.95437240600586,4,0,0,1,4155207680,4418699264,1,17.526151846013818,51.133118193496145,51.133118193496145,51.133118193496145,240.16089100041427,240.16089100041427,240.16089100041427,128x32
fp16,1,32,fp16-128x32,1493.5518649963342,1493.734531402588,31,1.7028026589996443,1702.3232909996295,1702.3232909996295,1702.3232909996295,5.34588623046875,37.8235294117647,5.868882999493508,0.0,0,0,4614936064,0,203.40015500005393,203.84012985229492,4,0,1,1,4155207680,4812963840,1,18.792547586694063,48.32809599998478,48.32809599998478,48.32809599998478,204.15231500010123,204.15231500010123,204.15231500010123,128x32
fp16,1,32,fp16-128x32,1482.6882499946805,1482.8460159301758,31,1.6916722450005182,1691.0350489997654,1691.0350489997654,1691.0350489997654,5.34588623046875,36.294117647058826,5.851915004313923,0.0,0,0,4614936064,0,202.8734949999489,203.36883163452148,4,0,2,1,4155207680,4812963840,1,18.916193780781807,47.97983548386612,47.97983548386612,47.97983548386612,203.6601489999157,203.6601489999157,203.6601489999157,128x32
fp16,1,32,fp16-128x32,1495.1250330050243,1495.3109512329102,31,1.7125214879997657,1711.9605690004391,1711.9605690004391,1711.9605690004391,5.34588623046875,35.1764705882353,5.687192000550567,0.0,0,0,4614936064,0,211.2189759991452,211.7679328918457,4,0,3,1,4155207680,4812963840,1,18.685896921139467,48.38232012902623,48.38232012902623,48.38232012902623,212.10864500062598,212.10864500062598,212.10864500062598,128x32
fp16,1,32,fp16-128x32,1509.996725992096,1510.2475852966309,31,1.72366159700141,1723.1873060009093,1723.1873060009093,1723.1873060009093,5.34588623046875,35.294117647058826,5.629432998830453,0.0,0,0,4614936064,0,207.49676599734812,207.92607879638672,4,0,4,1,4155207680,4812963840,1,18.56512905762315,48.87045580647781,48.87045580647781,48.87045580647781,208.2031760000973,208.2031760000973,208.2031760000973,128x32
fp16,1,16,fp16-right-skewed,6153.36474200376,6154.107604980469,121,8.497542764000173,3443.7777799994365,7918.046645899812,8223.392874779456,6.90057373046875,35.40963855421687,26.9685280181875,0.0,0,0,6288994816,0,2316.3403190083045,2322.0382041931152,43,0,0,8,4155207680,4812963840,8,15.180859171019216,49.171654451010255,61.905660229533815,66.24126528230259,2913.1730499993864,6854.787549150387,7229.11983223039,right-skewed
fp16,1,16,fp16-right-skewed,6022.258031995079,6022.852245330811,121,8.411566238000887,3219.766245500068,7831.464982150827,8132.283948430885,6.90447998046875,35.72839506172839,28.023356000630883,0.0,0,0,6288994816,0,2359.7601460023725,2365.2561798095703,43,0,1,8,4155207680,6486491136,8,15.336026175151234,49.291707496850705,51.59662706111501,52.094851812238225,2701.608393499555,6739.65142670022,7132.513562940221,right-skewed
fp16,1,16,fp16-right-skewed,5919.050218002667,5919.382789611816,121,8.100006304000999,3238.2191829992735,7513.960308500099,7818.081493699574,6.90447998046875,37.0625,26.792550002937787,0.0,0,0,6288994816,0,2152.3010690034425,2157.590503692627,43,0,2,8,4155207680,6486491136,8,15.925913531237677,48.89944715137972,50.210548292942335,50.48910151315271,2724.3621819998225,6446.172419101003,6815.661979820743,right-skewed
fp16,1,16,fp16-right-skewed,6042.075777997525,6042.468288421631,121,8.208612141999765,3383.014782499231,7660.684992598907,7968.779000918511,6.90447998046875,36.575,26.775877006002702,0.0,0,0,6288994816,0,2137.5576549908146,2143.246208190918,43,0,3,8,4155207680,6486491136,8,15.71520224959408,48.760014681877266,56.11352538889048,58.837020633357795,2872.748730499552,6616.073222799422,6995.26244215911,right-skewed
fp16,1,16,fp16-right-skewed,6047.079544998269,6047.646488189697,121,8.236604571000498,3260.872384999857,7660.1768733497,7956.337554669298,6.90447998046875,35.65,27.070207992437645,0.0,0,0,6288994816,0,2161.3131609974516,2167.118022918701,43,0,4,8,4155207680,6486491136,8,15.661793508235688,48.22298219283064,59.5463559297788,64.27436604310478,2636.6969439995955,6612.28175035003,6978.084574869881,right-skewed
fp16,2,16,fp16-16x8,342.80757900160097,342.80956268310547,7,0.39913622299900453,398.66109200102073,398.68093160157514,398.6826951216244,6.90447998046875,19.0,1.4695990066684317,0.0,0,0,4289221632,0,54.43394800022361,54.428096771240234,1,0,0,2,4155207680,6486491136,2,40.0865646314439,49.14329242858783,49.143561142838216,49.14358502854936,54.658045000905986,54.67976560121315,54.68169632124045,16x8
fp16,2,16,fp16-16x8,346.4503439990949,346.49443435668945,7,0.4009350819997053,400.49485100007587,400.5141136997736,400.5158259397467,6.90447998046875,37.0,1.466646999688237,0.0,0,0,4289221632,0,52.6303309998184,52.62547302246094,1,0,1,2,4155207680,6486491136,2,39.90670988479816,49.66305135712901,49.663302264395625,49.663324567263764,52.85349150017282,52.874510550736886,52.876378910787025,16x8
fp16,2,16,fp16-16x8,348.9452470003016,349.0073890686035,7,0.4056247449989314,405.10362399982114,405.1249837002615,405.12688234030065,6.90447998046875,36.0,1.5913789993646787,0.0,0,0,4289221632,0,54.583912999078166,54.57526397705078,1,0,2,2,4155207680,6486491136,2,39.44532526003104,50.03657999999892,50.036991428545925,50.037027999972324,54.84756399982871,54.8718037000981,54.873958340122044,16x8
fp16,2,16,fp16-16x8,352.6579330009554,352.70710372924805,7,0.40825133200087294,407.31424749992584,407.3346797501472,407.33649595016686,6.90447998046875,37.2,1.6279830015264452,0.0,0,0,4289221632,0,53.18000800070877,53.174625396728516,1,0,3,2,4155207680,6486491136,2,39.19154389915325,50.55456221426928,50.554836907057116,50.55486132419381,53.43231200004084,53.454667099777,53.456654219753545,16x8
