backend,in_features,iterations,latency_ms,out_features,repeat,rows,shape
reference-int8,1536,1,1.5401279926300049,8960,0,1,gate-up-proj
reference-int8,1536,1,1.5204800367355347,8960,1,1,gate-up-proj
reference-int8,1536,1,1.5237760543823242,8960,2,1,gate-up-proj
reference-int8,1536,1,1.520576000213623,8960,3,1,gate-up-proj
reference-int8,1536,1,1.5215040445327759,8960,4,1,gate-up-proj
fp16,1536,1,0.21695999801158905,8960,0,8,gate-up-proj
fp16,1536,1,0.18559999763965607,8960,1,8,gate-up-proj
fp16,1536,1,0.18745599687099457,8960,2,8,gate-up-proj
fp16,1536,1,0.1789119988679886,8960,3,8,gate-up-proj
fp16,1536,1,0.19023999571800232,8960,4,8,gate-up-proj
reference-int8,1536,1,1.4935040473937988,8960,0,8,gate-up-proj
reference-int8,1536,1,1.480031967163086,8960,1,8,gate-up-proj
reference-int8,1536,1,1.4795199632644653,8960,2,8,gate-up-proj
reference-int8,1536,1,1.4765759706497192,8960,3,8,gate-up-proj
reference-int8,1536,1,1.4735039472579956,8960,4,8,gate-up-proj
fp16,1536,1,0.23014399409294128,8960,0,32,gate-up-proj
fp16,1536,1,0.21408000588417053,8960,1,32,gate-up-proj
fp16,1536,1,0.2030400037765503,8960,2,32,gate-up-proj
fp16,1536,1,0.20640000700950623,8960,3,32,gate-up-proj
fp16,1536,1,0.19871999323368073,8960,4,32,gate-up-proj
reference-int8,1536,1,1.4794880151748657,8960,0,32,gate-up-proj
reference-int8,1536,1,1.4635200500488281,8960,1,32,gate-up-proj
reference-int8,1536,1,1.4598400592803955,8960,2,32,gate-up-proj
reference-int8,1536,1,1.460800051689148,8960,3,32,gate-up-proj
reference-int8,1536,1,1.4599360227584839,8960,4,32,gate-up-proj
fp16,1536,1,0.30559998750686646,8960,0,128,gate-up-proj
fp16,1536,1,0.2624000012874603,8960,1,128,gate-up-proj
fp16,1536,1,0.26502400636672974,8960,2,128,gate-up-proj
fp16,1536,1,0.2655999958515167,8960,3,128,gate-up-proj
fp16,1536,1,0.25782400369644165,8960,4,128,gate-up-proj
reference-int8,1536,1,1.5845119953155518,8960,0,128,gate-up-proj
reference-int8,1536,1,1.5642880201339722,8960,1,128,gate-up-proj
reference-int8,1536,1,1.557088017463684,8960,2,128,gate-up-proj
reference-int8,1536,1,1.5624639987945557,8960,3,128,gate-up-proj
reference-int8,1536,1,1.5648640394210815,8960,4,128,gate-up-proj
fp16,8960,1,0.191103994846344,1536,0,1,down-proj
fp16,8960,1,0.1627199947834015,1536,1,1,down-proj
fp16,8960,1,0.15913599729537964,1536,2,1,down-proj
fp16,8960,1,0.15996800363063812,1536,3,1,down-proj
fp16,8960,1,0.17260800302028656,1536,4,1,down-proj
reference-int8,8960,1,1.561087965965271,1536,0,1,down-proj
reference-int8,8960,1,1.5431360006332397,1536,1,1,down-proj
reference-int8,8960,1,1.5368000268936157,1536,2,1,down-proj
reference-int8,8960,1,1.5364480018615723,1536,3,1,down-proj
reference-int8,8960,1,1.5353920459747314,1536,4,1,down-proj
fp16,8960,1,0.21353599429130554,1536,0,8,down-proj
fp16,8960,1,0.18054400384426117,1536,1,8,down-proj
fp16,8960,1,0.27804800868034363,1536,2,8,down-proj
fp16,8960,1,0.20243200659751892,1536,3,8,down-proj
fp16,8960,1,0.18303999304771423,1536,4,8,down-proj
reference-int8,8960,1,1.565567970275879,1536,0,8,down-proj
reference-int8,8960,1,1.5416640043258667,1536,1,8,down-proj
reference-int8,8960,1,1.5382080078125,1536,2,8,down-proj
reference-int8,8960,1,1.534656047821045,1536,3,8,down-proj
reference-int8,8960,1,1.5394879579544067,1536,4,8,down-proj
fp16,8960,1,0.2797439992427826,1536,0,32,down-proj
fp16,8960,1,0.2566080093383789,1536,1,32,down-proj
fp16,8960,1,0.2479040026664734,1536,2,32,down-proj
fp16,8960,1,0.2306240051984787,1536,3,32,down-proj
fp16,8960,1,0.22883200645446777,1536,4,32,down-proj
reference-int8,8960,1,1.5627199411392212,1536,0,32,down-proj
reference-int8,8960,1,1.553439974784851,1536,1,32,down-proj
reference-int8,8960,1,1.5459840297698975,1536,2,32,down-proj
reference-int8,8960,1,1.5780160427093506,1536,3,32,down-proj
reference-int8,8960,1,1.5887360572814941,1536,4,32,down-proj
fp16,8960,1,0.3591359853744507,1536,0,128,down-proj
fp16,8960,1,0.3381119966506958,1536,1,128,down-proj
fp16,8960,1,0.3128319978713989,1536,2,128,down-proj
fp16,8960,1,0.33238399028778076,1536,3,128,down-proj
fp16,8960,1,0.32943999767303467,1536,4,128,down-proj
reference-int8,8960,1,1.6226880550384521,1536,0,128,down-proj
reference-int8,8960,1,1.6121280193328857,1536,1,128,down-proj
reference-int8,8960,1,1.6055680513381958,1536,2,128,down-proj
reference-int8,8960,1,1.600607991218567,1536,3,128,down-proj
reference-int8,8960,1,1.5961920022964478,1536,4,128,down-proj
fp16,1536,1,3.471008062362671,151936,0,1,lm-head
fp16,1536,1,3.421855926513672,151936,1,1,lm-head
fp16,1536,1,3.4096639156341553,151936,2,1,lm-head
fp16,1536,1,3.409791946411133,151936,3,1,lm-head
fp16,1536,1,3.413696050643921,151936,4,1,lm-head
reference-int8,1536,1,20.845407485961914,151936,0,1,lm-head
reference-int8,1536,1,20.84752082824707,151936,1,1,lm-head
reference-int8,1536,1,20.846399307250977,151936,2,1,lm-head
reference-int8,1536,1,20.818687438964844,151936,3,1,lm-head
reference-int8,1536,1,20.819744110107422,151936,4,1,lm-head
fp16,1536,1,2.07590389251709,151936,0,8,lm-head
fp16,1536,1,2.0238399505615234,151936,1,8,lm-head
fp16,1536,1,2.0088319778442383,151936,2,8,lm-head
fp16,1536,1,2.027679920196533,151936,3,8,lm-head
fp16,1536,1,2.019615888595581,151936,4,8,lm-head
reference-int8,1536,1,20.92838478088379,151936,0,8,lm-head
reference-int8,1536,1,20.89334487915039,151936,1,8,lm-head
reference-int8,1536,1,20.837984085083008,151936,2,8,lm-head
reference-int8,1536,1,20.823583602905273,151936,3,8,lm-head
reference-int8,1536,1,20.887935638427734,151936,4,8,lm-head
fp16,1536,1,2.562527894973755,151936,0,32,lm-head
fp16,1536,1,2.4786880016326904,151936,1,32,lm-head
fp16,1536,1,2.482815980911255,151936,2,32,lm-head
fp16,1536,1,2.4551360607147217,151936,3,32,lm-head
fp16,1536,1,2.4581758975982666,151936,4,32,lm-head
reference-int8,1536,1,21.07321548461914,151936,0,32,lm-head
reference-int8,1536,1,21.033472061157227,151936,1,32,lm-head
reference-int8,1536,1,20.973567962646484,151936,2,32,lm-head
reference-int8,1536,1,20.962047576904297,151936,3,32,lm-head
reference-int8,1536,1,20.941247940063477,151936,4,32,lm-head
fp16,1536,1,2.820768117904663,151936,0,128,lm-head
fp16,1536,1,2.7766079902648926,151936,1,128,lm-head
fp16,1536,1,2.772128105163574,151936,2,128,lm-head
fp16,1536,1,2.7650558948516846,151936,3,128,lm-head
fp16,1536,1,2.764672040939331,151936,4,128,lm-head
reference-int8,1536,1,21.666912078857422,151936,0,128,lm-head
reference-int8,1536,1,21.586624145507812,151936,1,128,lm-head
reference-int8,1536,1,21.687999725341797,151936,2,128,lm-head
reference-int8,1536,1,21.57792091369629,151936,3,128,lm-head
reference-int8,1536,1,21.375999450683594,151936,4,128,lm-head
